product_id,product_name,category,subcategory,brand,mrp,base_selling_price,is_active
1,QuickChoice Muesli 500 g,Dairy and breakfast,Breakfast Cereal,QuickChoice,177.0,134.0,True
2,SnackCraft Milk Chocolate 1 Piece,Snacks,Chocolates,SnackCraft,90.0,81.0,True
3,QuickChoice Cola 1.25 L,Beverages,Soft Drinks,QuickChoice,62.0,59.0,True
4,DailyDrop Muesli 1 kg,Dairy and breakfast,Breakfast Cereal,DailyDrop,331.0,305.0,True
5,DailyDrop Farm Eggs 6 Pieces,Dairy and breakfast,Eggs,DailyDrop,99.0,92.0,True
6,PureLeaf Hand Sanitizer 100 ml,Personal care,Hand Hygiene,PureLeaf,52.0,47.0,True
7,SnackCraft Aloo Bhujia 400 g,Snacks,Namkeen,SnackCraft,82.0,77.0,True
8,UrbanHarvest Bananas 500 g,Fruits and vegetables,Fresh Fruits,UrbanHarvest,147.0,139.0,True
9,PureLeaf Toothbrush 1 Piece,Personal care,Oral Care,PureLeaf,204.0,178.0,True
10,UrbanHarvest Cucumbers 1 kg,Fruits and vegetables,Fresh Vegetables,UrbanHarvest,99.0,93.0,True
11,DailyDrop Green Chilli Sauce 1 kg,Packaged foods,Sauces and Condiments,DailyDrop,102.0,85.0,True
12,QuickChoice Packaged Drinking Water 1 L,Beverages,Packaged Water,QuickChoice,13.0,11.0,True
13,DailyDrop Full Cream Milk 500 ml,Dairy and breakfast,Milk,DailyDrop,40.0,33.0,True
14,SnackCraft Dark Chocolate 100 g,Snacks,Chocolates,SnackCraft,109.0,94.0,True
15,HomeBright Dishwash Liquid 500 ml,Household care,Dishwash,HomeBright,56.0,47.0,True
16,HomeBright Dishwash Bar 1 Piece,Household care,Dishwash,HomeBright,192.0,152.0,True
17,UrbanHarvest Curry Leaves 1 Bunch,Fruits and vegetables,Herbs and Leafy Greens,UrbanHarvest,23.0,19.0,False
18,QuickChoice Lemon Soda 750 ml,Beverages,Soft Drinks,QuickChoice,43.0,39.0,True
19,FreshNest Cucumbers 1 kg,Fruits and vegetables,Fresh Vegetables,FreshNest,41.0,36.0,False
20,PureLeaf Instant Coffee 250 g,Beverages,Tea and Coffee,PureLeaf,308.0,257.0,True
21,UrbanHarvest Mustard Oil 500 ml,Packaged foods,Cooking Oil,UrbanHarvest,137.0,104.0,True
22,UrbanHarvest Multigrain Atta 10 kg,Packaged foods,Atta and Flour,UrbanHarvest,276.0,246.0,True
23,SnackCraft Aloo Bhujia 400 g,Snacks,Namkeen,SnackCraft,62.0,50.0,True
24,DailyDrop Instant Noodles 140 g,Packaged foods,Instant Food,DailyDrop,87.0,73.0,True
25,UrbanHarvest Apples 6 Pieces,Fruits and vegetables,Fresh Fruits,UrbanHarvest,204.0,180.0,True
26,FreshNest Mustard Oil 1 L,Packaged foods,Cooking Oil,FreshNest,278.0,269.0,True
27,FreshNest Multigrain Atta 5 kg,Packaged foods,Atta and Flour,FreshNest,602.0,571.0,False
28,UrbanHarvest Toor Dal 1 kg,Packaged foods,Pulses,UrbanHarvest,138.0,110.0,True
29,FreshNest Bananas 6 Pieces,Fruits and vegetables,Fresh Fruits,FreshNest,184.0,164.0,True
30,PureLeaf Conditioner 200 ml,Personal care,Hair Care,PureLeaf,181.0,158.0,True
31,UrbanHarvest Groundnut Oil 1 L,Packaged foods,Cooking Oil,UrbanHarvest,365.0,300.0,True
32,FreshNest Grapes 1 kg,Fruits and vegetables,Fresh Fruits,FreshNest,208.0,187.0,True
33,DailyDrop Toned Milk 500 ml,Dairy and breakfast,Milk,DailyDrop,53.0,45.0,True
34,QuickChoice Shampoo 100 ml,Personal care,Hair Care,QuickChoice,404.0,396.0,True
35,UrbanHarvest Sona Masoori Rice 1 kg,Packaged foods,Rice,UrbanHarvest,309.0,249.0,True
36,UrbanHarvest Curry Leaves 200 g,Fruits and vegetables,Herbs and Leafy Greens,UrbanHarvest,37.0,33.0,True
37,UrbanHarvest Groundnut Oil 1 L,Packaged foods,Cooking Oil,UrbanHarvest,686.0,563.0,True
38,HomeBright Room Freshener Spray 300 ml,Household care,Air Fresheners,HomeBright,156.0,121.0,False
39,DailyDrop Digestive Biscuits 200 g,Snacks,Biscuits,DailyDrop,32.0,29.0,True
40,UrbanHarvest Tomatoes 500 g,Fruits and vegetables,Fresh Vegetables,UrbanHarvest,24.0,21.0,True
41,FreshNest Potatoes 250 g,Fruits and vegetables,Fresh Vegetables,FreshNest,119.0,113.0,True
42,QuickChoice Cola 750 ml,Beverages,Soft Drinks,QuickChoice,75.0,65.0,True
43,DailyDrop Instant Coffee 500 g,Beverages,Tea and Coffee,DailyDrop,367.0,277.0,True
44,DailyDrop Brown Eggs 12 Pieces,Dairy and breakfast,Eggs,DailyDrop,60.0,46.0,True
45,SnackCraft Chocolate Bar 100 g,Snacks,Chocolates,SnackCraft,72.0,63.0,True
46,QuickChoice Mouthwash 200 ml,Personal care,Oral Care,QuickChoice,177.0,146.0,True
47,HomeBright Laundry Liquid Detergent 1 L,Household care,Detergents,HomeBright,287.0,268.0,True
48,PureLeaf Black Tea 500 g,Beverages,Tea and Coffee,PureLeaf,201.0,173.0,True
49,PureLeaf Face Wash 50 g,Personal care,Skin Care,PureLeaf,179.0,172.0,True
50,QuickChoice Instant Noodles 70 g,Packaged foods,Instant Food,QuickChoice,51.0,44.0,False
51,QuickChoice Sunscreen 100 ml,Personal care,Skin Care,QuickChoice,557.0,423.0,True
52,QuickChoice Instant Noodles 280 g,Packaged foods,Instant Food,QuickChoice,86.0,81.0,True
53,TinyCare Baby Powder 100 g,Baby care,Baby Skin Care,TinyCare,389.0,339.0,True
54,PureLeaf Face Wash 50 g,Personal care,Skin Care,PureLeaf,134.0,115.0,True
55,UrbanHarvest Rice Flour 10 kg,Packaged foods,Atta and Flour,UrbanHarvest,337.0,293.0,True
56,SnackCraft Dark Chocolate 50 g,Snacks,Chocolates,SnackCraft,70.0,57.0,True
57,QuickChoice Instant Pasta 70 g,Packaged foods,Instant Food,QuickChoice,31.0,26.0,True
58,QuickChoice Packaged Drinking Water 1 L,Beverages,Packaged Water,QuickChoice,25.0,21.0,True
59,QuickChoice Instant Pasta 70 g,Packaged foods,Instant Food,QuickChoice,31.0,24.0,True
60,FreshNest Oranges 4 Pieces,Fruits and vegetables,Fresh Fruits,FreshNest,157.0,147.0,False
61,UrbanHarvest Grapes 4 Pieces,Fruits and vegetables,Fresh Fruits,UrbanHarvest,59.0,47.0,True
62,DailyDrop Multigrain Bread 600 g,Dairy and breakfast,Bread,DailyDrop,47.0,44.0,True
63,FreshNest Oranges 500 g,Fruits and vegetables,Fresh Fruits,FreshNest,35.0,29.0,True
64,DailyDrop Marie Biscuits 200 g,Snacks,Biscuits,DailyDrop,11.0,9.0,True
